"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1920","После оформления заказа его номер появляется в разделе 'В работе'","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"Проверка перехода в раздел 'История заказов'","1331","Переход в раздел 'История заказов'","tests","2026-09-16","passed","2026-09-16","TestProfile","test_profile","",""
"","1644","При добавлении ингредиента в заказ увеличивается каунтер","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"Проверка перехода в личный кабинет","797","Переход по клику на 'Личный кабинет'","tests","2026-09-16","passed","2026-09-16","TestProfile","test_profile","",""
"","6690","При создании нового заказа счетчик 'Выполнено за все время' увеличивается","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"","79","Переход по клику на 'Конструктор'","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"Проверка выхода из аккаунта","2356","Выход из аккаунта","tests","2026-09-16","passed","2026-09-16","TestProfile","test_profile","",""
"","6184","При создании нового заказа счетчик 'Выполнено за сегодня' увеличивается","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"","44","Переход по клику на 'Лента заказов'","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"Проверка, что кнопка показа пароля подсвечивает поле","821","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-09-16","passed","2026-09-16","TestPasswordRecovery","test_password_recovery","",""
"","4510","Залогиненный пользователь может оформить заказ","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"","69","Клик на ингредиент - появляется всплывающее окно с деталями","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"Проверка перехода на страницу восстановления пароля","121","Переход на страницу восстановления пароля по кнопке 'Восстановить пароль'","tests","2026-09-16","passed","2026-09-16","TestPasswordRecovery","test_password_recovery","",""
"","105","Всплывающее окно закрывается кликом по крестику","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"","3025","Заказы пользователя из 'Истории заказов' отображаются в 'Ленте заказов'","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"Проверка ввода почты и клика по кнопке восстановления","778","Ввод почты и клик по кнопке 'Восстановить'","tests","2026-09-16","passed","2026-09-16","TestPasswordRecovery","test_password_recovery","",""
"","1093","Клик на заказ - открывается всплывающее окно с деталями","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
