"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ввода почты и клика по кнопке восстановления","840","Ввод почты и клик по кнопке 'Восстановить'","tests","2026-09-16","passed","2026-09-16","TestPasswordRecovery","test_password_recovery","",""
"","140","Клик на ингредиент - появляется всплывающее окно с деталями","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"","630","Клик на заказ - открывается всплывающее окно с деталями","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"","183","Переход по клику на 'Лента заказов'","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"","271","Всплывающее окно закрывается кликом по крестику","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"","3150","Заказы пользователя из 'Истории заказов' отображаются в 'Ленте заказов'","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"Проверка, что кнопка показа пароля подсвечивает поле","1454","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-09-16","passed","2026-09-16","TestPasswordRecovery","test_password_recovery","",""
"","245","При добавлении ингредиента в заказ увеличивается каунтер","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"Проверка перехода в раздел 'История заказов'","1355","Переход в раздел 'История заказов'","tests","2026-09-16","passed","2026-09-16","TestProfile","test_profile","",""
"Проверка выхода из аккаунта","2262","Выход из аккаунта","tests","2026-09-16","passed","2026-09-16","TestProfile","test_profile","",""
"","3438","При создании нового заказа счетчик 'Выполнено за сегодня' увеличивается","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"","74","Переход по клику на 'Конструктор'","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"","1327","Залогиненный пользователь может оформить заказ","tests","2026-09-16","passed","2026-09-16","TestMainFunctionality","test_main_functionality","",""
"Проверка перехода на страницу восстановления пароля","475","Переход на страницу восстановления пароля по кнопке 'Восстановить пароль'","tests","2026-09-16","passed","2026-09-16","TestPasswordRecovery","test_password_recovery","",""
"Проверка перехода в личный кабинет","745","Переход по клику на 'Личный кабинет'","tests","2026-09-16","passed","2026-09-16","TestProfile","test_profile","",""
"","3449","При создании нового заказа счетчик 'Выполнено за все время' увеличивается","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
"","1992","После оформления заказа его номер появляется в разделе 'В работе'","tests","2026-09-16","passed","2026-09-16","TestOrderFeed","test_order_feed","",""
